Name,Full Ticker,Ticker,Trading Country ISO Code,Operating Country ISO Code,Industry,Beta (5 Year),Total Debt,Total Equity,Revenue,Enterprise Value (EV)
Astralis A/S,OTCPK:ASGR.F,ASGR.F,USA,DNK,Entertainment,,,,8.4538,34.2711
Family Room Entertainment Corporation,OTCPK:FMYR,FMYR,USA,USA,Entertainment,,,,,
PopReach Corporation,OTCPK:POPR.F,POPR.F,USA,CAN,Entertainment,,6.178,16.0025,16.9504,29.817
Wow Unlimited Media Inc.,OTCPK:WOWM.F,WOWM.F,USA,CAN,Entertainment,2.1857,33.7021,5.0294,58.7134,66.7692
"Webstar Technology Group, Inc.",OTCPK:WBSR,WBSR,USA,USA,Entertainment,,0.6331,-2.8199,0.0019,35.6035
"Rivulet Media, Inc.",OTCPK:RIVU,RIVU,USA,USA,Entertainment,,2.0461,1.4263,,37.4771
"Grom Social Enterprises, Inc.",NASDAQCM:GROM,GROM,USA,USA,Entertainment,0.2112,3.597,25.4823,6.4597,25.9844
Fujian Blue Hat Interactive Entertainment Technology Ltd.,NASDAQCM:BHAT,BHAT,USA,CHN,Entertainment,1.6147,1.7073,81.6281,43.2788,26.5975
GigaMedia Limited,NASDAQCM:GIGM,GIGM,USA,TWN,Entertainment,0.1714,1.5184,51.5863,5.6526,-23.3712
"Moving iMage Technologies, Inc.",NYSEAM:MITQ,MITQ,USA,USA,Entertainment,,0.698,9.993,8.964,13.9197
Guild Esports Plc,OTCPK:GULD.F,GULD.F,USA,GBR,Entertainment,,0,22.8318,0.5087,2.0866
Atlantis Internet Group Corp.,OTCPK:ATIG,ATIG,USA,USA,Entertainment,,,,,
Royal Wins Corporation,OTCPK:RYWC.F,RYWC.F,USA,CAN,Entertainment,,0.0237,1.934,0.2113,18.2201
Liquid Media Group Ltd.,NASDAQCM:YVR,YVR,USA,CAN,Entertainment,0.4498,0.0359,13.8664,0.0357,11.2174
Network Media Group Inc.,OTCPK:NETW.F,NETW.F,USA,CAN,Entertainment,0.7028,1.9613,6.1699,3.6882,23.5117
